condition,target,true,pred,n
downsample_2,pump,1,0,0
downsample_2,pump,1,1,119
downsample_2,pump,1,2,1
downsample_2,pump,2,0,0
downsample_2,pump,2,1,0
downsample_2,pump,2,2,120
downsample_5,valve,73,73,90
downsample_5,valve,73,80,0
downsample_5,valve,73,90,0
downsample_5,valve,73,100,0
downsample_5,valve,80,73,2
downsample_5,valve,80,80,88
downsample_5,valve,80,90,0
downsample_5,valve,80,100,0
downsample_5,valve,90,73,4
downsample_5,valve,90,80,1
downsample_5,valve,90,90,57
downsample_5,valve,90,100,28
downsample_5,valve,100,73,2
downsample_5,valve,100,80,0
downsample_5,valve,100,90,23
downsample_5,valve,100,100,65
downsample_5,pump,0,0,119
downsample_5,pump,0,1,1
downsample_5,pump,0,2,0
downsample_5,pump,1,0,0
downsample_5,pump,1,1,120
downsample_5,pump,1,2,0
downsample_5,pump,2,0,0
downsample_5,pump,2,1,0
downsample_5,pump,2,2,120
downsample_10,valve,73,73,90
downsample_10,valve,73,80,0
downsample_10,valve,73,90,0
downsample_10,valve,73,100,0
downsample_10,valve,80,73,2
downsample_10,valve,80,80,88
downsample_10,valve,80,90,0
downsample_10,valve,80,100,0
downsample_10,valve,90,73,4
downsample_10,valve,90,80,5
downsample_10,valve,90,90,73
downsample_10,valve,90,100,8
downsample_10,valve,100,73,2
downsample_10,valve,100,80,0
downsample_10,valve,100,90,12
downsample_10,valve,100,100,76
downsample_10,pump,0,0,119
downsample_10,pump,0,1,0
downsample_10,pump,0,2,1
downsample_10,pump,1,0,0
downsample_10,pump,1,1,120
downsample_10,pump,1,2,0
downsample_10,pump,2,0,0
downsample_10,pump,2,1,0
downsample_10,pump,2,2,120
bias_PS1,valve,73,73,85
bias_PS1,valve,73,80,5
bias_PS1,valve,73,90,0
bias_PS1,valve,73,100,0
bias_PS1,valve,80,73,7
bias_PS1,valve,80,80,72
bias_PS1,valve,80,90,11
bias_PS1,valve,80,100,0
bias_PS1,valve,90,73,2
bias_PS1,valve,90,80,24
bias_PS1,valve,90,90,29
bias_PS1,valve,90,100,35
bias_PS1,valve,100,73,2
bias_PS1,valve,100,80,12
bias_PS1,valve,100,90,27
bias_PS1,valve,100,100,49
bias_PS1,pump,0,0,119
bias_PS1,pump,0,1,0
bias_PS1,pump,0,2,1
bias_PS1,pump,1,0,0
bias_PS1,pump,1,1,120
bias_PS1,pump,1,2,0
bias_PS1,pump,2,0,0
bias_PS1,pump,2,1,0
bias_PS1,pump,2,2,120
bias_PS3,valve,73,73,85
bias_PS3,valve,73,80,5
bias_PS3,valve,73,90,0
bias_PS3,valve,73,100,0
bias_PS3,valve,80,73,7
bias_PS3,valve,80,80,72
bias_PS3,valve,80,90,11
bias_PS3,valve,80,100,0
bias_PS3,valve,90,73,2
bias_PS3,valve,90,80,24
bias_PS3,valve,90,90,29
bias_PS3,valve,90,100,35
bias_PS3,valve,100,73,2
bias_PS3,valve,100,80,12
bias_PS3,valve,100,90,27
bias_PS3,valve,100,100,49
bias_PS3,pump,0,0,119
bias_PS3,pump,0,1,0
bias_PS3,pump,0,2,1
bias_PS3,pump,1,0,0
bias_PS3,pump,1,1,120
bias_PS3,pump,1,2,0
bias_PS3,pump,2,0,0
bias_PS3,pump,2,1,0
bias_PS3,pump,2,2,120
bias_TS1,valve,73,73,85
bias_TS1,valve,73,80,5
bias_TS1,valve,73,90,0
bias_TS1,valve,73,100,0
bias_TS1,valve,80,73,7
bias_TS1,valve,80,80,72
bias_TS1,valve,80,90,11
bias_TS1,valve,80,100,0
bias_TS1,valve,90,73,2
bias_TS1,valve,90,80,24
bias_TS1,valve,90,90,29
bias_TS1,valve,90,100,35
bias_TS1,valve,100,73,2
bias_TS1,valve,100,80,12
bias_TS1,valve,100,90,27
bias_TS1,valve,100,100,49
bias_TS1,pump,0,0,119
bias_TS1,pump,0,1,0
bias_TS1,pump,0,2,1
bias_TS1,pump,1,0,0
bias_TS1,pump,1,1,120
bias_TS1,pump,1,2,0
bias_TS1,pump,2,0,0
bias_TS1,pump,2,1,0
bias_TS1,pump,2,2,120
bias_FS1,valve,73,73,85
bias_FS1,valve,73,80,5
bias_FS1,valve,73,90,0
bias_FS1,valve,73,100,0
bias_FS1,valve,80,73,7
bias_FS1,valve,80,80,72
bias_FS1,valve,80,90,11
bias_FS1,valve,80,100,0
bias_FS1,valve,90,73,2
bias_FS1,valve,90,80,24
bias_FS1,valve,90,90,29
bias_FS1,valve,90,100,35
bias_FS1,valve,100,73,2
bias_FS1,valve,100,80,12
bias_FS1,valve,100,90,27
bias_FS1,valve,100,100,49
bias_FS1,pump,0,0,119
bias_FS1,pump,0,1,0
bias_FS1,pump,0,2,1
bias_FS1,pump,1,0,0
bias_FS1,pump,1,1,120
bias_FS1,pump,1,2,0
bias_FS1,pump,2,0,0
bias_FS1,pump,2,1,0
bias_FS1,pump,2,2,120
bias_EPS1,valve,73,73,85
bias_EPS1,valve,73,80,5
bias_EPS1,valve,73,90,0
bias_EPS1,valve,73,100,0
bias_EPS1,valve,80,73,7
bias_EPS1,valve,80,80,72
bias_EPS1,valve,80,90,11
bias_EPS1,valve,80,100,0
bias_EPS1,valve,90,73,2
bias_EPS1,valve,90,80,24
bias_EPS1,valve,90,90,29
bias_EPS1,valve,90,100,35
bias_EPS1,valve,100,73,2
bias_EPS1,valve,100,80,12
bias_EPS1,valve,100,90,27
bias_EPS1,valve,100,100,49
bias_EPS1,pump,0,0,119
bias_EPS1,pump,0,1,0
bias_EPS1,pump,0,2,1
bias_EPS1,pump,1,0,0
bias_EPS1,pump,1,1,120
bias_EPS1,pump,1,2,0
bias_EPS1,pump,2,0,0
bias_EPS1,pump,2,1,0
bias_EPS1,pump,2,2,120
drift_PS1,valve,73,73,86
drift_PS1,valve,73,80,4
drift_PS1,valve,73,90,0
drift_PS1,valve,73,100,0
drift_PS1,valve,80,73,6
drift_PS1,valve,80,80,74
drift_PS1,valve,80,90,10
drift_PS1,valve,80,100,0
drift_PS1,valve,90,73,3
drift_PS1,valve,90,80,18
drift_PS1,valve,90,90,41
drift_PS1,valve,90,100,28
drift_PS1,valve,100,73,2
drift_PS1,valve,100,80,8
drift_PS1,valve,100,90,31
drift_PS1,valve,100,100,49
drift_PS1,pump,0,0,119
drift_PS1,pump,0,1,0
drift_PS1,pump,0,2,1
drift_PS1,pump,1,0,0
drift_PS1,pump,1,1,119
drift_PS1,pump,1,2,1
drift_PS1,pump,2,0,0
drift_PS1,pump,2,1,0
drift_PS1,pump,2,2,120
drift_PS3,valve,73,73,85
