condition,family,target,split,n,n_sensors,balanced_accuracy,macro_f1,auroc_ovr_macro,log_loss,brier
drift_EPS1,drift,valve,test,360,17,0.65,0.6378260808812547,0.8919290123456789,0.7794658444186576,0.445313
drift_EPS1,drift,pump,train,849,17,1.0,1.0,1.0,0.007323183677776121,0.0009325418138987045
drift_EPS1,drift,pump,valid,240,17,0.9958333333333332,0.9958331705665585,0.9996614583333333,0.08806940341973407,0.03296946666666666
drift_EPS1,drift,pump,test,360,17,0.9944444444444445,0.9944557787844209,0.9999884259259261,0.05464194767762578,0.018617288888888885
restore_PRESSURE_PS1,restore,valve,train,849,12,1.0,1.0,1.0,0.07530329935905873,0.01212066902237927
restore_PRESSURE_PS1,restore,valve,valid,240,12,0.4708333333333333,0.4456209638826306,0.6602662037037037,1.3259967974928637,0.7098924
restore_PRESSURE_PS1,restore,valve,test,360,12,0.4972222222222222,0.46982703521488717,0.7660236625514404,1.1045166252258851,0.6244017777777777
restore_PRESSURE_PS1,restore,pump,train,849,12,1.0,1.0,1.0,0.007122626293000305,0.0009298280329799768
restore_PRESSURE_PS1,restore,pump,valid,240,12,0.9958333333333332,0.9958331705665585,0.9998177083333332,0.0858663043567059,0.032797933333333334
restore_PRESSURE_PS1,restore,pump,test,360,12,0.9916666666666667,0.9916889530749021,1.0,0.05599324399008006,0.01987775555555556
restore_PRESSURE_PS2,restore,valve,train,849,12,1.0,1.0,1.0,0.06633487422304213,0.009671679623085985
restore_PRESSURE_PS2,restore,valve,valid,240,12,0.5583333333333333,0.5294771703822542,0.7550925925925926,1.0825229716155804,0.5956487
restore_PRESSURE_PS2,restore,valve,test,360,12,0.6361111111111112,0.6261549492006908,0.8660905349794239,0.856780551919553,0.4919104666666666
restore_PRESSURE_PS2,restore,pump,train,849,12,1.0,1.0,1.0,0.00781965965453728,0.0009890318021201414
restore_PRESSURE_PS2,restore,pump,valid,240,12,0.9916666666666667,0.991691901545151,0.99984375,0.09073773332998532,0.035321466666666676
restore_PRESSURE_PS2,restore,pump,test,360,12,0.9888888888888889,0.9889214097035127,1.0,0.06198966457111502,0.022936688888888886
restore_PRESSURE_PS3,restore,valve,train,849,12,1.0,1.0,1.0,0.09169128322921893,0.016180306242638397
restore_PRESSURE_PS3,restore,valve,valid,240,12,0.3958333333333333,0.3942356958113188,0.5814699074074074,1.5452452791534645,0.7921632333333335
restore_PRESSURE_PS3,restore,valve,test,360,12,0.4000000000000001,0.389608595427561,0.7053189300411523,1.2508038015522092,0.705477888888889
restore_PRESSURE_PS3,restore,pump,train,849,12,1.0,1.0,1.0,0.007339588981033965,0.0010111472320376916
restore_PRESSURE_PS3,restore,pump,valid,240,12,0.9958333333333332,0.9958331705665585,0.9997135416666666,0.0884140132676814,0.0329886
restore_PRESSURE_PS3,restore,pump,test,360,12,0.9916666666666667,0.9916889530749021,0.999994212962963,0.05825728110351522,0.021576044444444446
restore_PRESSURE_PS4,restore,valve,train,849,12,1.0,1.0,1.0,0.09043444544365535,0.015948164899882215
restore_PRESSURE_PS4,restore,valve,valid,240,12,0.4083333333333333,0.40218285183066366,0.5886574074074074,1.5242232998583107,0.7870521333333333
restore_PRESSURE_PS4,restore,valve,test,360,12,0.4027777777777778,0.3880938856817268,0.6931584362139918,1.2790893452529672,0.7218636444444444
restore_PRESSURE_PS4,restore,pump,train,849,12,1.0,1.0,1.0,0.00803720790410193,0.0010938044758539457
restore_PRESSURE_PS4,restore,pump,valid,240,12,0.9916666666666667,0.991691901545151,0.9996614583333333,0.09089748186072326,0.0335099
restore_PRESSURE_PS4,restore,pump,test,360,12,0.9888888888888889,0.9889214097035127,1.0,0.06447051054095194,0.024893644444444446
restore_PRESSURE_PS5,restore,valve,train,849,12,1.0,1.0,1.0,0.0942721421969978,0.016747844522968198
restore_PRESSURE_PS5,restore,valve,valid,240,12,0.39166666666666666,0.38920426649646506,0.5845023148148148,1.5248713080985172,0.7884864333333332
restore_PRESSURE_PS5,restore,valve,test,360,12,0.40555555555555556,0.3903569558215649,0.696358024691358,1.264032646842205,0.7165797333333334
restore_PRESSURE_PS5,restore,pump,train,849,12,1.0,1.0,1.0,0.007984392331826464,0.0010651401648998826
restore_PRESSURE_PS5,restore,pump,valid,240,12,0.9874999999999999,0.987549185333446,0.9997135416666666,0.09228238882086316,0.034880133333333334
restore_PRESSURE_PS5,restore,pump,test,360,12,0.9916666666666667,0.9916889530749021,1.0,0.062176187359339746,0.023318444444444447
restore_PRESSURE_PS6,restore,valve,train,849,12,1.0,1.0,1.0,0.09194148485583406,0.016268164899882216
restore_PRESSURE_PS6,restore,valve,valid,240,12,0.4083333333333333,0.4032181904035451,0.5969444444444444,1.5014810423145828,0.7832708000000002
restore_PRESSURE_PS6,restore,valve,test,360,12,0.40555555555555556,0.3926439967282681,0.7015843621399177,1.258331546072424,0.7077551333333333
restore_PRESSURE_PS6,restore,pump,train,849,12,1.0,1.0,1.0,0.007710642727359055,0.0010389823321554773
restore_PRESSURE_PS6,restore,pump,valid,240,12,0.9916666666666667,0.991691901545151,0.999453125,0.09397224770499506,0.03479296666666666
restore_PRESSURE_PS6,restore,pump,test,360,12,0.9916666666666667,0.9916889530749021,1.0,0.06101173478507784,0.02323206666666667
restore_TEMPERATURE_TS1,restore,valve,train,849,14,1.0,1.0,1.0,0.057448298814212706,0.008063038869257952
restore_TEMPERATURE_TS1,restore,valve,valid,240,14,0.5874999999999999,0.5368985092914029,0.8269560185185185,0.9140540063788334,0.5279873333333334
restore_TEMPERATURE_TS1,restore,valve,test,360,14,0.6666666666666667,0.6558338286265499,0.8949537037037038,0.7672740580165632,0.43843908888888894
restore_TEMPERATURE_TS1,restore,pump,train,849,14,1.0,1.0,1.0,0.0072238001357975284,0.0009403439340400472
restore_TEMPERATURE_TS1,restore,pump,valid,240,14,0.9958333333333332,0.9958331705665585,0.9997135416666666,0.08789109900096928,0.0334708
restore_TEMPERATURE_TS1,restore,pump,test,360,14,0.9944444444444445,0.9944557787844209,1.0,0.052850563912545924,0.01773737777777778
restore_TEMPERATURE_TS2,restore,valve,train,849,14,1.0,1.0,1.0,0.057181845478705536,0.008023575971731449
restore_TEMPERATURE_TS2,restore,valve,valid,240,14,0.5708333333333333,0.5226869050681759,0.820925925925926,0.9322703570926999,0.5375675
restore_TEMPERATURE_TS2,restore,valve,test,360,14,0.6722222222222223,0.6609803298646907,0.8927057613168725,0.77314910600372,0.44359411111111113
restore_TEMPERATURE_TS2,restore,pump,train,849,14,1.0,1.0,1.0,0.006737452397781111,0.0008511001177856302
restore_TEMPERATURE_TS2,restore,pump,valid,240,14,0.9958333333333332,0.9958331705665585,0.9999479166666667,0.08974212023762682,0.035301099999999995
restore_TEMPERATURE_TS2,restore,pump,test,360,14,0.9972222222222222,0.9972221739960764,1.0,0.05051390436744352,0.016263688888888888
restore_TEMPERATURE_TS3,restore,valve,train,849,14,1.0,1.0,1.0,0.0574177371110803,0.008011043580683158
restore_TEMPERATURE_TS3,restore,valve,valid,240,14,0.5875,0.5425331260336075,0.8174537037037036,0.9201322427333085,0.5376332666666668
restore_TEMPERATURE_TS3,restore,valve,test,360,14,0.675,0.6619117090830496,0.8966203703703703,0.7613427289422662,0.43689795555555566
restore_TEMPERATURE_TS3,restore,pump,train,849,14,1.0,1.0,1.0,0.007160340944675925,0.0009542991755005892
restore_TEMPERATURE_TS3,restore,pump,valid,240,14,0.9958333333333332,0.9958331705665585,0.9993880208333333,0.09073735107824842,0.034337900000000005
restore_TEMPERATURE_TS3,restore,pump,test,360,14,0.9944444444444445,0.9944557787844209,1.0,0.053606184096918676,0.017763044444444445
restore_TEMPERATURE_TS4,restore,valve,train,849,14,1.0,1.0,1.0,0.05709359214072859,0.007960320376914017
restore_TEMPERATURE_TS4,restore,valve,valid,240,14,0.5666666666666667,0.5194851391884188,0.8206249999999999,0.9293325716219667,0.5399274333333334
restore_TEMPERATURE_TS4,restore,valve,test,360,14,0.663888888888889,0.6523512366153419,0.8951800411522635,0.7653440932982657,0.43590877777777776
