design_id,size,rep,split,n,n_fail,accuracy,auroc_fo_d_S,auprc_fo_d_S,auroc_entropy,auprc_entropy,auroc_top1_top2_margin,auprc_top1_top2_margin,auroc_snr_mean,auprc_snr_mean,auroc_count_above_3sigma,auprc_count_above_3sigma,auroc_smallest_singular_value,auprc_smallest_singular_value,auroc_design_size,auprc_design_size
26,24,6,test,315,50,0.8412698412698413,0.7549056603773585,0.4081186200292135,0.8324528301886792,0.4199483026067121,0.8862264150943396,0.506829966603675,0.7567547169811321,0.4336686011056273,0.7094716981132075,0.3472694572415954,0.7525283018867925,0.3895418012570714,0.5,0.15873015873015872
27,24,7,val,210,54,0.7428571428571429,0.9446818613485279,0.8461201380297125,0.9483618233618233,0.822011052523172,0.9375593542260209,0.768411255324399,0.958452041785375,0.9011425151281657,0.9521011396011396,0.848732118361748,0.9802943969610637,0.9502495085485112,0.5,0.2571428571428571
27,24,7,test,315,96,0.6952380952380952,0.880232115677321,0.8120890412987479,0.9377378234398782,0.8375885736794019,0.9386177701674278,0.8101288306085251,0.895738203957382,0.8535500855378441,0.8946204337899543,0.8195793692910193,0.9149543378995434,0.8883102637584563,0.5,0.3047619047619048
28,24,8,val,210,25,0.8809523809523809,0.8725405405405406,0.44303315975759905,0.926918918918919,0.5966778777975252,0.9194594594594594,0.5517930535078069,0.8914594594594595,0.49035959849127675,0.8406486486486486,0.37234904174124883,0.8704864864864866,0.407622246502488,0.5,0.11904761904761904
28,24,8,test,315,40,0.873015873015873,0.8317272727272728,0.42919527057394996,0.8867272727272728,0.5448590751698253,0.9153181818181818,0.5104083018462396,0.8341818181818182,0.4272148868198944,0.8065000000000001,0.36969266518093613,0.8366363636363636,0.40953127438545783,0.5,0.12698412698412698
29,24,9,val,210,22,0.8952380952380953,0.8765715667311412,0.4522809714206864,0.9339941972920697,0.5865708158132731,0.9257736943907156,0.5544784689642989,0.8704061895551258,0.4305102935717585,0.8220502901353965,0.3924963170496246,0.8514264990328819,0.41208134702548554,0.5,0.10476190476190476
29,24,9,test,315,41,0.8698412698412699,0.7459943030087235,0.3487504824302411,0.8979882499554923,0.5751590318412423,0.9470357842264554,0.6653094009842953,0.7334876268470714,0.32641075092256727,0.6956560441516824,0.28747006089931937,0.7279686665479792,0.29947039181041607,0.5,0.13015873015873017
30,24,10,val,210,38,0.819047619047619,0.9182221542227662,0.8028510753141108,0.9302325581395348,0.7463307722506928,0.9266370869033047,0.770553366572566,0.91906364749082,0.7799318489890738,0.875841493268054,0.6573884052688881,0.8871634026927785,0.6966645914855114,0.5,0.18095238095238095
30,24,10,test,315,57,0.819047619047619,0.8119815041479669,0.7082031063969563,0.8973888208894328,0.6509993528159702,0.9365565075479396,0.6722227531640408,0.8208894328845369,0.6783779320386302,0.8136474908200735,0.629730876101112,0.7983136134910922,0.635105819635087,0.5,0.18095238095238095
31,24,11,val,210,34,0.8380952380952381,0.9150233957219251,0.8044468907212521,0.9349933155080214,0.6453185428417941,0.9571356951871657,0.7898707146625309,0.9141042780748663,0.7797099225962161,0.8944685828877006,0.7090452477287211,0.8795120320855615,0.7281505692671321,0.5,0.1619047619047619
31,24,11,test,315,59,0.8126984126984127,0.8345471398305087,0.7033853588312791,0.8902277542372881,0.6084905401981117,0.9281316207627119,0.6904551665945778,0.8319650423728813,0.6836936792569754,0.8213387182203391,0.6512051680237422,0.8103151483050848,0.6447697697162516,0.5,0.1873015873015873
32,24,12,val,210,34,0.8380952380952381,0.9090073529411764,0.630498887654213,0.9438502673796793,0.7577066768742905,0.9126838235294118,0.58956440428625,0.9166109625668449,0.6779428228139748,0.8588736631016043,0.5298644710409416,0.8907921122994653,0.60425515002128,0.5,0.1619047619047619
