start_h,dur_h,strength,n_sensors,rmse,mae,bias,maxerr,spearman,curve
1,1,1000.0,10,15.76901882485032,13.096593455849392,-3.062826834005673,29.845360824742265,0.9411239481143202,5.2;71.0;83.1;83.1;83.6;84.7
0,1,100.0,10,15.831861378223483,14.470715673091277,-4.7511579261915395,19.504706409681745,0.6982532518267538,50.1;66.1;71.2;70.7;70.5;72.0
1,6,100.0,20,16.1005600302948,11.673091289406841,-0.09143881667413822,29.845360824742265,0.9411239481143202,5.2;74.3;84.3;86.5;88.1;90.2
1,2,100.0,20,16.21317514723364,12.198266845958463,-0.5172568354997757,29.845360824742265,0.9411239481143202,5.2;74.3;84.7;85.9;87.2;88.6
1,6,10000.0,10,16.264545232723915,12.537800687285221,0.2914238756910154,29.845360824742265,0.9411239481143202,5.2;74.1;85.2;86.1;87.0;93.2
1,2,10000.0,10,16.286856305181907,12.308456596444048,-0.48924249215598675,29.845360824742265,0.9411239481143202,5.2;74.1;85.4;85.5;86.3;89.6
1,1,10000.0,10,16.30329485633628,12.698789780367548,-1.0812789481547884,29.845360824742265,0.9411239481143202,5.2;74.1;84.7;84.8;85.2;88.6
1,1,100.0,20,16.318120694400992,12.728671746600925,-1.017779769908864,29.845360824742265,0.9411239481143202,5.2;74.3;84.8;85.3;86.5;86.9
1,6,100.0,10,16.62565846934501,14.06693560436277,-11.229941730165848,29.845360824742265,0.9411239481143202,5.2;60.5;71.1;72.8;73.9;78.2
1,2,100.0,10,17.379085361698728,14.823322874645159,-11.986329000448237,29.845360824742265,0.9411239481143202,5.2;60.5;71.7;71.9;72.6;75.2
1,1,100.0,10,18.142262792139725,15.712311370088154,-12.875317495891231,29.845360824742265,0.819688599970537,5.2;60.5;71.1;70.8;71.5;72.7
0,6,100.0,5,19.37147116732816,17.680711190796362,-17.680711190796362,29.421783953384143,0.9411239481143202,28.6;42.8;48.4;60.6;71.2;71.3
0,1,100.0,20,19.801938547668797,15.319438219034813,10.314955924099806,34.45316001792918,0.9411239481143202,69.5;82.9;83.5;84.6;85.6;84.8
1,1,1000.0,20,19.969994772231708,15.487897803675464,5.5394441954280405,32.4016136261766,0.9411239481143202,5.2;84.4;92.4;92.8;93.4;94.0
1,2,1000.0,20,19.99248118941581,15.650380995069456,5.701927386822036,32.4016136261766,0.9411239481143202,5.2;84.4;92.3;92.9;93.6;94.8
1,6,1000.0,20,20.139864643005502,16.30218138353501,6.353727775287592,32.4016136261766,0.9411239481143202,5.2;84.4;92.3;93.8;94.8;96.7
0,6,100.0,20,20.348731858961127,14.099133422979234,13.798072613177949,34.45316001792918,0.9411239481143202,69.5;84.7;87.0;89.1;90.2;91.3
0,2,100.0,20,20.387751908569506,14.40803824891678,13.030479605558044,34.45316001792918,0.9411239481143202,69.5;84.7;87.1;87.9;88.6;89.4
1,1,10000.0,20,20.411185784890836,16.326460481099634,6.378006872852212,33.08516360376511,0.9411239481143202,5.2;85.1;93.1;93.7;94.2;96.0
1,2,10000.0,20,20.546078632960945,16.74854325414609,6.8000896458986695,33.08516360376511,0.9411239481143202,5.2;85.1;93.3;94.1;95.0;97.1
1,6,10000.0,20,20.590054507871365,16.94277603466305,6.994322426415629,33.08516360376511,0.9411239481143202,5.2;85.1;93.3;94.5;95.4;97.5
0,2,100.0,5,21.089415287234214,19.13745704467354,-19.13745704467354,32.41371582250114,0.9548637106322311,28.6;42.8;48.5;57.6;68.3;68.3
1,6,10000.0,5,21.70725671842447,18.424025100851633,-18.424025100851633,35.58493948901837,0.9411239481143202,5.2;38.2;51.5;54.4;84.4;84.8
1,2,10000.0,5,21.752771714671187,18.562229194681006,-18.562229194681006,35.64096817570595,0.9411239481143202,5.2;38.2;51.5;54.4;84.2;84.3
1,1,10000.0,5,21.872238683364536,18.984311967727468,-18.984311967727468,35.61855670103092,0.9411239481143202,5.2;38.2;51.5;54.4;82.9;82.9
1,1,100.0,40,21.954177977403855,15.781488121918402,5.423651576273705,39.539668310174775,0.21251185925162072,5.2;91.5;92.7;92.2;91.1;88.8
1,2,100.0,40,22.10005375156161,16.285372777528732,6.3369191692813125,39.539668310174775,0.3946648814672956,5.2;91.5;93.4;93.1;93.0;90.8
1,6,100.0,40,22.144807550183447,16.81951292395037,6.87105931570295,39.539668310174775,0.8932596002688613,5.2;91.5;93.3;93.6;93.3;93.3
2,6,1000.0,10,23.152526033708284,16.19826684595846,-12.440161362617664,46.845360824742265,0.9240616554505461,5.2;5.2;81.1;84.9;85.9;92.1
2,2,10000.0,10,23.22129885256697,16.00627521290901,-12.41401464216345,46.845360824742265,0.9240616554505461,5.2;5.2;82.8;85.5;86.3;89.6
2,6,10000.0,10,23.22425970595787,16.267368892873154,-11.638951142985208,46.845360824742265,0.9240616554505461,5.2;5.2;82.8;86.0;87.0;93.1
